RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
76,Elijah BryantMIL,SG,1,32,16,6,13,46.2,1,5,20,3,3,100,6,3,0,1,4,0,0,10.62
77,OG AnunobyTOR,SF,43,33.3,15.9,5.8,12.1,48,2.4,6.1,39.8,1.9,2.4,78.4,5.5,2.2,1.5,0.7,1.7,3,0,15.44
78,LaMelo BallCHA,PG,51,28.8,15.7,5.7,13.2,43.6,1.8,5.1,35.2,2.5,3.2,75.8,5.9,6.1,1.6,0.4,2.8,7,1,17.61
79,Dejounte MurraySA,PG,67,31.9,15.7,6.6,14.5,45.3,0.9,3,31.7,1.6,2,79.1,7.1,5.4,1.5,0.1,1.7,13,4,16.52
80,Terrence RossORL,SG,46,29.3,15.6,5.5,13.4,41.2,1.9,5.7,33.7,2.6,3,87,3.4,2.3,1,0.5,1.6,0,0,13.25
81,T.J. WarrenIND,SF,4,29.3,15.5,6.8,12.8,52.9,0,1.8,0,2,2.5,80,3.5,1.3,0.5,0,1,0,0,11.68
82,Kelly Oubre Jr.GS,SG,55,30.7,15.4,5.8,13.2,43.9,1.6,5.2,31.6,2.2,3.2,69.5,6,1.3,1,0.8,1.3,6,0,13.37
83,Dennis SchroderLAL,PG,61,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4,84.8,3.5,5.8,1.1,0.2,2.7,6,0,13.84
84,Derrick WhiteSA,PG,36,29.6,15.4,5.2,12.6,41.1,2.3,6.8,34.6,2.7,3.2,85.1,3,3.5,0.7,1,1.3,0,0,15.01
85,Gary Trent Jr.POR/TOR,SG,58,31.1,15.3,5.5,13.5,40.8,2.8,7.4,38.5,1.4,1.8,78.3,2.6,1.4,1,0.2,0.7,0,0,12.15
86,Clint CapelaATL,C,63,30.1,15.2,6.6,11,59.4,0,0,0,2.1,3.6,57.3,14.3,0.8,0.7,2,1.2,48,1,24.36
87,Tyler HerroMIA,PG,54,30.3,15.1,5.7,12.9,43.9,2,5.5,36,1.7,2.2,80.3,5,3.4,0.6,0.3,1.9,5,0,13.42
88,Coby WhiteCHI,PG,69,31.2,15.1,5.4,13.1,41.6,2.4,6.6,35.9,1.9,2.1,90.1,4.1,4.8,0.6,0.2,2.3,5,0,12.09
89,De'Andre HunterATL,SF,23,29.5,15,5.2,10.8,48.4,1.3,4.1,32.6,3.2,3.7,85.9,4.8,1.9,0.8,0.5,1.3,1,0,15.75
90,Andre DrummondLAL/CLE,C,46,27,14.9,6.1,12.4,49.3,0,0.2,0,2.7,4.5,60,12,2,1.4,1.1,2.7,28,0,19.46
91,Devonte' GrahamCHA,PG,55,30.2,14.8,4.6,12.2,37.7,3.3,8.7,37.5,2.4,2.9,84.2,2.7,5.4,0.9,0.1,1.5,3,0,14.68
92,Derrick RoseNY/DET,PG,50,25.6,14.7,5.7,12.2,47,1,2.6,38.8,2.2,2.5,86.6,2.6,4.2,1,0.4,1.6,1,0,18.38
93,Lonzo BallNO,PG,55,31.8,14.6,5.3,12.7,41.4,3.1,8.3,37.8,0.9,1.2,78.1,4.8,5.7,1.5,0.6,2.2,5,1,15.23
94,Kendrick NunnMIA,G,56,29.5,14.6,5.7,11.8,48.5,2.2,5.7,38.1,1,1.1,93.3,3.2,2.6,0.9,0.3,1.4,0,0,14.24
95,Deandre AytonPHX,C,69,30.7,14.4,6.2,10,62.6,0.1,0.3,20,1.9,2.5,76.9,10.5,1.4,0.6,1.2,1.5,33,0,20.35
96,Jaren Jackson Jr.MEM,PF,11,23.5,14.4,4.8,11.4,42.4,1.5,5.5,28.3,3.2,3.8,83.3,5.6,1.1,1.1,1.6,1.4,0,0,18.1
97,Thomas BryantWSH,C,10,27.1,14.3,5.9,9.1,64.8,0.9,2.1,42.9,1.6,2.4,66.7,6.1,1.5,0.4,0.8,1.1,1,0,18.75
98,Rudy GobertUTAH,C,71,30.8,14.3,5.5,8.2,67.5,0,0.1,0,3.3,5.3,62.3,13.5,1.3,0.6,2.7,1.7,49,0,23.54
99,Ben SimmonsPHI,PG,58,32.4,14.3,5.6,10.1,55.7,0.1,0.2,30,3,4.9,61.3,7.2,6.9,1.6,0.6,3,13,4,18.38
100,Richaun HolmesSAC,C,61,29.2,14.2,6,9.4,63.7,0,0.2,18.2,2.2,2.8,79.4,8.3,1.7,0.6,1.6,1.2,21,0,20.24
101,Al HorfordOKC,C,28,27.9,14.2,5.8,12.9,45,2,5.4,36.8,0.6,0.8,81.8,6.7,3.4,0.9,0.9,1,1,0,17.48
102,Marvin Bagley IIISAC,PF,43,25.9,14.1,5.7,11.4,50.4,0.9,2.5,34.3,1.8,3.1,57.5,7.4,1,0.5,0.5,1.4,11,0,16.37
103,Joe HarrisBKN,SF,69,31,14.1,5.2,10.2,50.5,3.1,6.4,47.5,0.7,0.9,77.8,3.6,1.9,0.7,0.2,0.9,0,0,14.12
104,Luguentz DortOKC,SF,52,29.7,14,4.8,12.3,38.7,2.2,6.3,34.3,2.3,3.2,74.4,3.6,1.7,0.9,0.4,1.5,0,0,10.19
105,Rui HachimuraWSH,PF,57,31.5,13.8,5.4,11.4,47.8,0.8,2.4,32.8,2.2,2.8,77,5.5,1.4,0.8,0.1,1.2,3,0,11.45
106,Darius BazleyOKC,PF,55,31.2,13.7,5,12.5,39.6,1.5,5.2,29,2.3,3.2,70.2,7.2,1.8,0.5,0.5,2.2,11,0,9.73
107,Chris BoucherTOR,PF,60,24.2,13.6,4.8,9.3,51.4,1.5,3.9,38.3,2.5,3.2,78.8,6.7,1.1,0.6,1.9,0.8,12,0,21.97
108,Lauri MarkkanenCHI,PF,51,25.8,13.6,4.9,10.2,48,2.3,5.8,40.2,1.5,1.8,82.6,5.3,0.9,0.5,0.3,1,2,0,15.25
109,Doug McDermottIND,SF,66,24.5,13.6,5.4,10.1,53.2,1.7,4.3,38.8,1.2,1.5,81.6,3.3,1.3,0.3,0.1,0.8,0,0,15.72
110,LaMarcus AldridgeSA/BKN,C,26,25.9,13.5,5.4,11.4,47.3,1.2,3.1,38.7,1.6,1.8,87.2,4.5,1.9,0.4,1.1,1,1,0,15.75
111,Kelly OlynykMIA/HOU,PF,70,28.5,13.5,4.8,10,48.3,1.8,5.3,34.2,2.1,2.5,82.9,7,2.9,1.1,0.6,1.8,12,0,16.41
112,Montrezl HarrellLAL,C,69,22.9,13.5,5.4,8.7,62.2,0,0.1,0,2.6,3.7,70.7,6.2,1.1,0.7,0.7,1.1,8,0,22.76
113,Mikal BridgesPHX,SF,72,32.6,13.5,5,9.3,54.3,1.9,4.4,42.5,1.5,1.8,84,4.3,2.1,1.1,0.9,0.8,2,0,16.45
114,Goran DragicMIA,PG,50,26.7,13.4,4.8,11.1,43.2,1.8,4.9,37.3,2,2.4,82.8,3.4,4.4,0.7,0.2,2.4,1,0,13.07
115,Marcus Morris Sr.LAC,SF,57,26.4,13.4,4.8,10.2,47.3,2.5,5.2,47.3,1.3,1.6,82,4.1,1,0.6,0.3,1,0,0,14.51
116,Carmelo AnthonyPOR,PF,69,24.5,13.4,4.7,11.3,42.1,1.9,4.7,40.9,2,2.2,89,3.1,1.5,0.7,0.6,0.9,0,0,14.66
117,Josh JacksonDET,SG,62,25.2,13.4,4.8,11.4,41.9,1.2,4.1,30,2.6,3.5,72.9,4.1,2.3,0.9,0.8,2.3,2,0,12.1
118,Danilo GallinariATL,PF,51,24,13.3,4,9.3,43.4,2,5,40.6,3.2,3.4,92.5,4.1,1.5,0.6,0.2,0.8,2,0,16.37
119,Duncan RobinsonMIA,SG,72,31.4,13.1,4.4,10,43.9,3.5,8.5,40.8,0.9,1,82.7,3.5,1.8,0.6,0.3,1.1,1,0,11.1
120,Marcus SmartBOS,PG,48,32.9,13.1,4.2,10.6,39.8,1.9,5.9,33,2.7,3.4,79,3.5,5.7,1.5,0.5,2,3,0,13.8
121,Tyrese HaliburtonSAC,PG,58,30.1,13,5,10.7,47.2,2.1,5.1,40.9,0.8,1,85.7,3,5.3,1.3,0.5,1.6,5,0,16.19
122,Shake MiltonPHI,SG,63,23.2,13,4.8,10.6,45,1.1,3.2,35,2.3,2.8,83,2.3,3.1,0.6,0.3,1.6,0,0,14.64
123,Markelle FultzORL,PG,8,26.9,12.9,5.1,13,39.4,0.5,2,25,2.1,2.4,89.5,3.1,5.4,1,0.3,2.3,1,0,12.05
124,P.J. WashingtonCHA,PF,64,30.5,12.9,4.7,10.7,44,1.8,4.5,38.6,1.7,2.3,74.5,6.5,2.5,1.1,1.2,2,10,0,13.42
125,Cole AnthonyORL,PG,47,27.1,12.9,4.7,11.7,39.7,1.2,3.7,33.7,2.3,2.8,83.2,4.7,4.1,0.6,0.4,2.3,0,0,12.16
126,Kyle KuzmaLAL,SF,68,28.7,12.9,4.9,11.1,44.3,2,5.6,36.1,1,1.4,69.1,6.1,1.9,0.5,0.6,1.7,13,0,12.8
127,Jarrett AllenCLE/BKN,C,63,29.6,12.8,4.7,7.7,61.8,0.1,0.3,31.6,3.2,4.6,70.3,10,1.7,0.5,1.4,1.6,25,0,20.15
128,Keldon JohnsonSA,SF,69,28.5,12.8,4.9,10.2,47.9,0.9,2.6,33.1,2.1,2.8,74,6,1.8,0.6,0.3,1.1,8,0,13.86
129,Miles BridgesCHA,SF,66,29.3,12.7,4.7,9.4,50.3,1.8,4.4,40,1.5,1.7,86.7,6,2.2,0.7,0.8,1.6,11,0,14.72
130,Alec BurksNY,SG,49,25.6,12.7,4.3,10.2,42,2.1,5,41.5,2.1,2.4,85.6,4.6,2.2,0.6,0.3,1,3,0,14.88
131,Will BartonDEN,SF,56,31,12.7,4.6,10.9,42.6,1.8,4.6,38.1,1.7,2.2,78.5,4,3.2,0.9,0.4,1.7,0,0,11.86
132,Jalen BrunsonDAL,PG,68,25,12.6,4.8,9.2,52.3,1.2,2.9,40.5,1.8,2.2,79.5,3.4,3.5,0.5,0,1.2,1,0,17.19
133,Myles TurnerIND,C,47,31,12.6,4.4,9.2,47.7,1.5,4.4,33.5,2.4,3,78.2,6.5,1,0.9,3.4,1.4,7,0,15.36
134,Seth CurryPHI,SG,57,28.7,12.5,4.5,9.7,46.7,2.2,4.9,45,1.2,1.4,89.6,2.4,2.7,0.8,0.1,1.1,0,0,12.91
135,Kyle AndersonMEM,SF,69,27.3,12.4,4.5,9.5,46.8,1.4,3.8,36,2.1,2.7,78.3,5.7,3.6,1.2,0.8,1.2,3,0,17.27
136,Aaron GordonDEN/ORL,PF,50,27.7,12.4,4.6,10,46.3,1.2,3.5,33.5,1.9,3,65.1,5.7,3.2,0.7,0.7,1.9,3,1,14.59
137,Brook LopezMIL,C,70,27.2,12.3,4.6,9.1,50.3,1.4,4,33.8,1.7,2,84.5,5,0.7,0.6,1.5,0.9,3,0,15.46
138,Saddiq BeyDET,SF,70,27.3,12.2,4,9.9,40.4,2.5,6.6,38,1.8,2.1,84.4,4.5,1.4,0.7,0.2,0.9,3,0,12.64
139,Eric BledsoeNO,SG,71,29.7,12.2,4.3,10.3,42.1,1.7,5,34.1,1.9,2.7,68.7,3.4,3.8,0.8,0.3,1.6,4,0,11.58
140,Kevin LoveCLE,PF,25,24.9,12.2,4.1,10.1,40.9,2.3,6.2,36.5,1.7,2,82.4,7.4,2.5,0.6,0.1,1.5,5,0,15.1
141,Josh RichardsonDAL,SG,59,30.3,12.1,4.5,10.5,42.7,1.5,4.5,33,1.7,1.8,91.7,3.3,2.6,1,0.4,1.3,0,0,11.92
142,Thaddeus YoungCHI,PF,68,24.3,12.1,5.4,9.7,55.9,0.2,0.7,26.7,1,1.7,62.8,6.2,4.3,1.1,0.6,2,7,0,20.41
143,Joe InglesUTAH,SG,67,27.9,12.1,4.1,8.4,48.9,2.7,6.1,45.1,1.1,1.3,84.4,3.6,4.7,0.7,0.2,1.7,2,0,15.92
144,Jordan PooleGS,SG,51,19.4,12,4,9.3,43.2,1.9,5.4,35.1,2.1,2.3,88.2,1.8,1.9,0.5,0.2,1,0,0,15.19
145,Kevin HuerterATL,SG,69,30.8,11.9,4.6,10.6,43.2,2,5.6,36.3,0.7,0.9,78.1,3.3,3.5,1.2,0.3,1.1,3,0,12.19
146,Malik MonkCHA,SG,42,20.9,11.7,4.1,9.5,43.4,2,5,40.1,1.4,1.7,81.9,2.4,2.1,0.5,0.1,1.3,0,0,13.63
147,Hamidou DialloOKC/DET,SG,52,23.6,11.6,4.3,9,47.7,0.5,1.6,34.1,2.5,3.8,64,5.2,1.9,0.8,0.5,1.5,7,0,14.31
148,Davis BertansWSH,SF,57,25.7,11.5,3.4,8.4,40.4,3,7.5,39.5,1.8,2,87,2.9,0.9,0.6,0.2,0.6,0,0,11.44
149,James WisemanGS,C,39,21.4,11.5,4.9,9.4,51.9,0.3,1,31.6,1.4,2.2,62.8,5.8,0.7,0.3,0.9,1.5,3,0,13.2
150,Jusuf NurkicPOR,C,37,23.8,11.5,4.6,9,51.4,0.3,0.8,40,1.9,3.1,61.9,9,3.4,1,1.1,2,13,0,20.53
151,Bobby PortisMIL,C,66,20.8,11.4,4.7,9.1,52.3,1.1,2.4,47.1,0.8,1.1,74,7.1,1.1,0.8,0.4,0.8,12,0,20
152,Immanuel QuickleyNY,SG,64,19.4,11.4,3.6,9.1,39.5,1.8,4.7,38.9,2.4,2.7,89.1,2.1,2,0.5,0.2,0.9,0,0,15.84
153,Rudy GaySA,SF,63,21.6,11.4,4.2,10,42,1.7,4.4,38.1,1.3,1.6,80.4,4.8,1.4,0.7,0.6,1,1,0,14.76
